scythian;Ironi;;;;;;;;;;;;;x
scythian;Ironi;;;;;;;;;;;;;x
burgundian;Burgundian;;;;;;;;;;;;;x
asturleonese;Asturleonese;;;;;;;;;;;;;x
norse_gaelic;Austmennsk;;;;;;;;;;;;;x
ojibwe;Ojiwbe;;;;;;;;;;;;;x
shawnee;Shawnee;;;;;;;;;;;;;x
dakota;Sioux;;;;;;;;;;;;;x
mexicain;Mexicain;;;;;;;;;;;;;x
azeri;Azeri;;;;;;;;;;;;;x
adari;Adari;;;;;;;;;;;;;x
illinois;Illinewek;;;;;;;;;;;;;x
vinlander;Vinlandian;;;;;;;;;;;;;x
amerikaner;Batavian;;;;;;;;;;;;;x
aquitan;Aquitan;;;;;;;;;;;;;x
central_american;Centrale;;;;;;;;;;;;;x
haraldian;Haraldian;;;;;;;;;;;;;x
argentinian;Argentinier;;;;;;;;;;;;;x
amazuni;Amassunayi;;;;;;;;;;;;;x
brazili;Humri;;;;;;;;;;;;;x
mozarabic;Mozarabic;;;;;;;;;;;;;x
libi;Libi;;;;;;;;;;;;;x
frisian;Frisian;;;;;;;;;;;;;x
hindi;Hindustani;;;;;;;;;;;;;x
pruthenian;Pruthenian;;;;;;;;;;;;;x
aragonese;Aragonese;;;;;;;;;;;;;x
spanish;Castilian;;;;;;;;;;;;;x
algaravian;Andalusi;;;;;;;;;;;;;x
afro_germanic;Afro Germanic;;;;;;;;;;;;;x
iberiano;Iberiano;;;;;;;;;;;;;x
lurish;Lurish;;;;;;;;;;;;;x
mazanderani;Mazanderani;;;;;;;;;;;;;x
norn;Norn;;;;;;;;;;;;;x
ukrainian;Ruthenian;;;;;;;;;;;;;x
janubi;Budjari;;;;;;;;;;;;;x
swiss_german;Central German;;;;;;;;;;;;;x
turkish;Turkoman;;;;;;;;;;;;;x
north_german;Lower German;;;;;;;;;;;;;x
south_german;Upper German;;;;;;;;;;;;;x
norman;Norman;;;;;;;;;;;;x
siqilli;Siqilli;;;;;;;;;;;;x
griko;Griko;;;;;;;;;;;;x
cuman;Cuman;;;;;;;;;;;;x
jassic;Jász;;;;;;;;;;;;x
new_scots;New Scots;;;;;;;;;;;;x
dutch;Lower Frankish;;;;;;;;;;;;x
ashkenazi;Yiddish;;;;;;;;;;;;x
venetian;Veneto-Dalmatian;;;;;;;;;;;;x
tuscan;Tusco-Corsican;;;;;;;;;;;;x
north_italian;Galloitalian;;;;;;;;;;;;x
sardinian;Sardinian;;;;;;;;;;;;x
torlakian;Torlakian;;;;;;;;;;;;x
shtokavian;Shtokavian;;;;;;;;;;;;x
kaykavian;Kaykavian;;;;;;;;;;;;x
chakavian;Chakavian;;;;;;;;;;;;x
makedonian;Makedonian;;;;;;;;;;;;x
silesian;Silesian;;;;;;;;;;;;x
crimean_tatar;Qirimi;;;;;;;;;;;;x
bulgar_tatar;Idel-Ural Tatar;;;;;;;;;;;;x
astrakhan_tatar;Astrakhani;;;;;;;;;;;;x
sibir_tatar;Sibiri;;;;;;;;;;;;x
tuvan;Tywa;;;;;;;;;;;;x
albanian;Gheg;;;;;;;;;;;;x
tosk;Tosk;;;;;;;;;;;;x
englisk;Anglisk;;;;;;;;;;;;x
scots;Scots;;;;;;;;;;;;x
british;Sexish;;;;;;;;;;;;x
courish;Courish;;;;;;;;;;;;x
kashubian;Kashubian;;;;;;;;;;;;x
sorbian;Sorbian;;;;;;;;;;;;x
western_slavic;Veletian;;;;;;;;;;;;x
novgorodian;Novgorodian;;;;;;;;;;;;x
chuvashian;Chuvashi;;;;;;;;;;;;x
russian;Muscovite;;;;;;;;;;;;x
laz;Laz;;;;;;;;;;;;x
megrelian;Megrelian;;;;;;;;;;;;x
svan;Svan;;;;;;;;;;;;x
abkhaz;Abkhaz;;;;;;;;;;;;x
ubykh;Ubykh;;;;;;;;;;;;x
circassian;Adyghe;;;;;;;;;;;;x
kabardian;Kabardian;;;;;;;;;;;;x
ingush;Ingush;;;;;;;;;;;;x
avar;Avar;;;;;;;;;;;;x
dargin;Dargin;;;;;;;;;;;;x
andi_didoic;Andi-Didoic;;;;;;;;;;;;x
lezgic;Lez;;;;;;;;;;;;x
u_tsang;Ü-Tsang;;;;;;;;;;;;x
amdo;Amdo;;;;;;;;;;;;x
kham;Kham;;;;;;;;;;;;x
kuki_chin;Kuki-Chin;;;;;;;;;;;;x
champa;Champa;;;;;;;;;;;;x
rungic;Rungic;;;;;;;;;;;;x
boro_garo;Boro-Garo;;;;;;;;;;;;x
dayak;Dayak;;;;;;;;;;;;x
aslian;Aslian;;;;;;;;;;;;x
zaza;Zaza;;;;;;;;;;;;x
kurmanji;Kurmanji;;;;;;;;;;;;x
sorani;Sorani;;;;;;;;;;;;x
kurdish;Kalhuri;;;;;;;;;;;;x
gorani;Gorani;;;;;;;;;;;;x
pamiri;Wakhi;;;;;;;;;;;;x
chaghatay;Gurkani;;;;;;;;;;;;x
badakhshani;Badakhshani;;;;;;;;;;;;x
nuristani;Nuristani;;;;;;;;;;;;x
nogay_tatar;Nogai;;;;;;;;;;;;x
rusyn;Rusyn;;;;;;;;;;;;x
karaim;Karaim;;;;;;;;;;;;x
tatlar;Crimean Greek;;;;;;;;;;;;x
mishar;Qasimi;;;;;;;;;;;;x
oirat;Oirat;;;;;;;;;;;;x
buryat;Buryat;;;;;;;;;;;;x
tumed;Tumed;;;;;;;;;;;;x
ordos;Ordos;;;;;;;;;;;;x
jin;Jin;;;;;;;;;;;;x
xiang;Xiang;;;;;;;;;;;;x
gondi;Gondi;;;;;;;;;;;;x
munda;Munda;;;;;;;;;;;;x
khasi;Khasi;;;;;;;;;;;;x
mon;Mon;;;;;;;;;;;;x
lavonic;Lavo;;;;;;;;;;;;x
pear;Pearic;;;;;;;;;;;;x
bahnar;Bahnaric;;;;;;;;;;;;x
katu;Katuic;;;;;;;;;;;;x
khmu;Khmuic;;;;;;;;;;;;x
lawa;Lawa;;;;;;;;;;;;x
hmong;Hmong;;;;;;;;;;;;x
mien;Mien;;;;;;;;;;;;x
tai;Tai;;;;;;;;;;;;x
lue;Lue;;;;;;;;;;;;x
gan;Gann;;;;;;;;;;;;x
beifaren;Mandarin;;;;;;;;;;;;x
wu;Wu;;;;;;;;;;;;x
daur;Dagur;;;;;;;;;;;;x
even;Even;;;;;;;;;;;;x
evenk;Evenk;;;;;;;;;;;;x
yukaghir;Yukaghir;;;;;;;;;;;;x
chukotkan;Chukotkan;;;;;;;;;;;;x
kamchatkan;Kamchatkan;;;;;;;;;;;;x
nganasan;Nganasan;;;;;;;;;;;;x
dolgan;Dolgan;;;;;;;;;;;;x
yeniseic;Yeniseic;;;;;;;;;;;;x
nenets;Nenets;;;;;;;;;;;;x
enets;Enets;;;;;;;;;;;;x
khanty;Khanty;;;;;;;;;;;;x
mansi;Mansi;;;;;;;;;;;;x
komi;Komi;;;;;;;;;;;;x
ingrian;Ingrian;;;;;;;;;;;;x
